DISCOVER TOPIC TITLE REGISTRY
Generated: 2026-03-28T07:42:14.179Z

Purpose:
- Use this file before adding new Discover topics.
- Search by normalized key or by title to avoid duplicate topics across source files.
- Data folder JSON imports are included in this registry.

Unique normalized topics: 464

Format:
normalized key | canonical title | sources
how to start using ai tools for work | How to Start Using AI Tools for Work | discover-topic-taxonomy
how to start with korean dramas | How to Start With Korean Dramas | discover-data
how to start with romantic korean series | How to Start With Romantic Korean Series | discover-high-traffic-seeds
how to start with strategy games | How to Start With Strategy Games | discover-high-traffic-seeds
how to stay fit without gym | How to stay fit without gym | discover-search-intents
how to stay motivated | How to stay motivated | discover-search-intents
how to stop procrastinating using proven focus techniques | How to Stop Procrastinating Using Proven Focus Techniques | data-data1
how to stop procrastination | How to Stop Procrastination | discover-high-traffic-seeds, discover-search-intents
how to study effectively | How to Study Effectively | discover-high-traffic-seeds, discover-search-intents
how to study for exams using active recall and spaced repetition | How to Study for Exams Using Active Recall and Spaced Repetition | data-guides-batch2
how to take better notes | How to take better notes | discover-search-intents
how to take better notes using the zettelkasten method | How to Take Better Notes Using the Zettelkasten Method | data-data1
how to understand election systems | How to Understand Election Systems | discover-topic-taxonomy
how to understand geopolitics without getting lost in news | How to Understand Geopolitics Without Getting Lost in News | discover-high-traffic-seeds
how to understand internet culture better | How to Understand Internet Culture Better | discover-topic-taxonomy
how to use ai for studying | How to use AI for studying | discover-search-intents
how to use ai for work | How to use AI for work | discover-search-intents
how to use ai tools for research without getting hallucinations | How to Use AI Tools for Research Without Getting Hallucinations | data-data1
how to use ai tools to speed up content creation workflows | How to Use AI Tools to Speed Up Content Creation Workflows | data-guides-batch2
how to use ai tools without ruining original thinking | How to Use AI Tools Without Ruining Original Thinking | discover-high-traffic-seeds
how to use ai writing tools without losing your voice | How to Use AI Writing Tools Without Losing Your Voice | data-data1
how to use chatgpt | How to use ChatGPT | discover-search-intents
how to use chatgpt for daily work | How to Use ChatGPT for Daily Work | discover-high-traffic-seeds
how to use spaced repetition for long term learning | How to Use Spaced Repetition for Long-Term Learning | data-data1
how to validate a startup idea | How to validate a startup idea | discover-search-intents
how to validate a startup idea before building anything | How to Validate a Startup Idea Before Building Anything | data-guides-batch2
how to watch nolan movies without overcomplicating it | How to Watch Nolan Movies Without Overcomplicating It | discover-data
how to write a resume that gets past ats and impresses humans | How to Write a Resume That Gets Past ATS and Impresses Humans | data-guides-batch2
how to write a resume that gets past ats screening | How to Write a Resume That Gets Past ATS Screening | data-data1
iconic indian actresses with strong screen presence | Iconic Indian Actresses with Strong Screen Presence | discover-data
instagram growth tips | Instagram growth tips | discover-search-intents
instagram reels ideas | Instagram reels ideas | discover-search-intents
key crypto terms explained simply | Key Crypto Terms Explained Simply | discover-topic-taxonomy
key political events that changed the world | Key Political Events That Changed the World | discover-topic-taxonomy
low investment business ideas | Low investment business ideas | discover-search-intents
major global alliances explained simply | Major Global Alliances Explained Simply | discover-topic-taxonomy
make money with ai | Make money with AI | discover-search-intents
mental health tips | Mental health tips | discover-search-intents
morning routine ideas | Morning routine ideas | discover-search-intents
most important battles in modern history | Most Important Battles in Modern History | discover-topic-taxonomy
most important geopolitical regions to follow | Most Important Geopolitical Regions to Follow | discover-topic-taxonomy
most important scientific discoveries | Most Important Scientific Discoveries | discover-topic-taxonomy
most important space agencies to know | Most Important Space Agencies to Know | discover-topic-taxonomy
most important turning points in world history | Most Important Turning Points in World History | discover-topic-taxonomy
most influential military leaders | Most Influential Military Leaders | discover-topic-taxonomy
most influential modern designers | Most Influential Modern Designers | discover-topic-taxonomy
most influential political leaders in modern history | Most Influential Political Leaders in Modern History | discover-topic-taxonomy
most useful ai tools right now | Most useful AI tools right now | discover-search-intents
most versatile indian actresses in modern cinema | Most Versatile Indian Actresses in Modern Cinema | discover-high-traffic-seeds
most versatile tamil actors | Most Versatile Tamil Actors | discover-high-traffic-seeds
notion vs obsidian which note app fits your thinking style | Notion vs Obsidian: Which Note App Fits Your Thinking Style | data-guides-batch3
online business ideas | Online business ideas | discover-search-intents
online earning without investment | Online earning without investment | discover-search-intents
passive income ideas | Passive income ideas | discover-search-intents
productivity tips | Productivity tips | discover-search-intents
side business ideas | Side business ideas | discover-search-intents
simple home exercises | Simple home exercises | discover-search-intents
skill development ideas | Skill development ideas | discover-search-intents
skin care routine | Skin care routine | discover-search-intents
sleep improvement tips | Sleep improvement tips | discover-search-intents
small business ideas | Small business ideas | discover-search-intents
startup ideas 2026 | Startup ideas 2026 | discover-search-intents
study tips for exams | Study tips for exams | discover-search-intents
success habits | Success habits | discover-search-intents
time management for students | Time management for students | discover-search-intents
tips for beating procrastination when studying | Tips for Beating Procrastination When Studying | data-guides-batch2
tips for better sleep without overcomplicating it | Tips for Better Sleep Without Overcomplicating It | discover-high-traffic-seeds
tips for finding product market fit as a first time founder | Tips for Finding Product-Market Fit as a First-Time Founder | data-data1
tips for improving focus and deep work as a knowledge worker | Tips for Improving Focus and Deep Work as a Knowledge Worker | data-guides-batch4
tips for managing time effectively as a remote worker | Tips for Managing Time Effectively as a Remote Worker | data-guides-batch3
tips for remote job hunting in a competitive market | Tips for Remote Job Hunting in a Competitive Market | data-data1
tips for validating a startup idea before building | Tips for Validating a Startup Idea Before Building | data-data1
top creator trends to watch | Top Creator Trends to Watch | discover-topic-taxonomy
top tamil road trip songs | Top Tamil Road Trip Songs | discover-data
top tamil thriller movies | Top Tamil Thriller Movies | discover-data
underrated tamil movies to watch | Underrated Tamil Movies to Watch | discover-high-traffic-seeds
upsc preparation tips | UPSC preparation tips | discover-search-intents
visionary directors across global and indian cinema | Visionary Directors Across Global and Indian Cinema | discover-data
what is a large language model in simple terms | What Is a Large Language Model in Simple Terms | discover-high-traffic-seeds
what is a startup in simple terms | What Is a Startup in Simple Terms | discover-high-traffic-seeds
what is an ai model and why it matters | What Is an AI Model and Why It Matters | discover-high-traffic-seeds
what is an llm | What is an LLM | discover-search-intents
what is artificial intelligence and how does it actually work | What Is Artificial Intelligence and How Does It Actually Work | data-data1
what is geopolitics in simple terms | What Is Geopolitics in Simple Terms | discover-high-traffic-seeds
what is product market fit and how to measure it | What Is Product-Market Fit and How to Measure It | data-guides-batch1
what is product market fit in simple terms | What Is Product-Market Fit in Simple Terms | discover-high-traffic-seeds
what is prompt engineering and how to get better at it | What Is Prompt Engineering and How to Get Better at It | data-data1, data-guides-batch4
what is retrieval augmented generation and how does it work | What Is Retrieval-Augmented Generation and How Does It Work | data-data1
whatsapp tricks | WhatsApp tricks | discover-search-intents
work from home business ideas | Work from home business ideas | discover-search-intents
yoga benefits | Yoga benefits | discover-search-intents
youtube automation | YouTube automation | discover-search-intents
